safe_task_id,title,category,harness,session_id,source_file,format,size_bytes,event_start,event_end,parse_ok,user_turns,tool_calls,hard_gate,complexity,workspace_completeness,final_status,model,snapshot_state
T01,修复高并发采集下 AsyncReadWriteLock 读者被写者抢占误取消,推荐提交,OpenAI Codex CLI/App (Codex Desktop),01a0a683-f27c-7652-ae21-e20536f0d419,%USERPROFILE%/.codex/sessions/2026/09/16/rollout-2026-09-16T03-21-00-01a0a683-f27c-7652-ae21-e20536f0d419.jsonl,JSONL (Codex rollout),2376256,2026-09-15T19:21:06.498Z,2026-09-15T20:12:41.869Z,true,4,94,通过硬门槛,高,完整,success,deepseek-v4-flash,final
T02,AsyncReadWriteLock 改造会话的审批守卫子代理记录（同一 session_id）,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a0a683-f27c-7652-ae21-e20536f0d419,%USERPROFILE%/.codex/sessions/2026/09/16/rollout-2026-09-16T04-08-14-01a0a6af-3313-7ed3-9fac-28d31cf0cc18.jsonl,JSONL (Codex rollout),253164,2026-09-15T20:08:15.117Z,2026-09-15T20:10:56.032Z,true,4,0,不通过硬门槛,证据不足,证据不足,not_applicable,unknown,final
T03,本地 Coding Agent 轨迹筛选与结构化打包（进行中）,补充或脱敏后再提交,OpenAI Codex CLI/App (Codex Desktop),01a0a6d7-3aed-7a53-97a3-a1617a53be0f,%USERPROFILE%/.codex/sessions/2026/09/16/rollout-2026-09-16T04-51-58-01a0a6d7-3aed-7a53-97a3-a1617a53be0f.jsonl,JSONL (Codex rollout),1249058,2026-09-15T20:51:59.054Z,2026-09-15T20:55:56.551Z,true,1,48,补充或脱敏后可通过,证据不足,证据不足,unverified,deepseek-v4-flash,live
T04,Figma 设计实现请求（无工具执行）,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a0546c-0be1-7493-93be-019f0c191332,%USERPROFILE%/.codex/archived_sessions/rollout-2026-08-31T04-46-02-01a0546c-0be1-7493-93be-019f0c191332.jsonl,JSONL (Codex rollout),58122,2026-08-30T20:46:04.586Z,2026-08-31T02:57:00.628Z,true,3,0,不通过硬门槛,不适用,不适用,not_applicable,deepseek-v4-flash,final
T05,闲聊：询问所用模型（含少量联网检索）,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a06226-1017-7a13-94d5-10b7f4261458,%USERPROFILE%/.codex/archived_sessions/rollout-2026-09-02T20-44-16-01a06226-1017-7a13-94d5-10b7f4261458.jsonl,JSONL (Codex rollout),104801,2026-09-02T12:44:17.066Z,2026-09-02T12:44:50.768Z,true,3,6,不通过硬门槛,不适用,不适用,not_applicable,deepseek-v4-flash,final
T06,闲聊：重复询问模型身份,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a0545c-8538-7ef2-9423-6af2641eb3d4,%USERPROFILE%/.codex/archived_sessions/rollout-2026-08-31T04-29-04-01a0545c-8538-7ef2-9423-6af2641eb3d4.jsonl,JSONL (Codex rollout),88950,2026-08-30T20:29:06.175Z,2026-08-30T20:42:27.261Z,true,3,0,不通过硬门槛,不适用,不适用,not_applicable,gpt-5.6-sol,final
T07,闲聊：重复询问模型身份,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a055c1-b269-7dd0-a037-3f55e25cead1,%USERPROFILE%/.codex/archived_sessions/rollout-2026-08-31T10-59-12-01a055c1-b269-7dd0-a037-3f55e25cead1.jsonl,JSONL (Codex rollout),118383,2026-08-31T02:59:14.521Z,2026-09-02T12:29:19.656Z,true,3,0,不通过硬门槛,不适用,不适用,not_applicable,gpt-5.6-sol,final
T08,闲聊：询问模型身份,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a0621a-a396-72f3-b7b8-a2ad3274da26,%USERPROFILE%/.codex/archived_sessions/rollout-2026-09-02T20-31-48-01a0621a-a396-72f3-b7b8-a2ad3274da26.jsonl,JSONL (Codex rollout),63363,2026-09-02T12:31:50.170Z,2026-09-02T12:31:59.450Z,true,2,0,不通过硬门槛,不适用,不适用,not_applicable,gpt-5.6-sol,final
T09,闲聊：询问模型身份,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a06223-4367-7290-b563-abefc41ac5fe,%USERPROFILE%/.codex/archived_sessions/rollout-2026-09-02T20-41-13-01a06223-4367-7290-b563-abefc41ac5fe.jsonl,JSONL (Codex rollout),59780,2026-09-02T12:41:14.630Z,2026-09-02T12:41:25.075Z,true,2,0,不通过硬门槛,不适用,不适用,not_applicable,inclusionai/ling-3.0-flash-fin:free,final
T10,闲聊：单轮寒暄,不建议提交,OpenAI Codex CLI/App (Codex Desktop),01a06224-9732-7263-b17e-980413bf200d,%USERPROFILE%/.codex/archived_sessions/rollout-2026-09-02T20-42-40-01a06224-9732-7263-b17e-980413bf200d.jsonl,JSONL (Codex rollout),62741,2026-09-02T12:42:40.606Z,2026-09-02T12:42:48.805Z,true,2,0,不通过硬门槛,不适用,不适用,not_applicable,inclusionai/ling-3.0-flash-fin:free,final
